Type;ESR-7;
Version;3.48;
Date;25.Oct 24;
Mode;ANALYZER;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;1000000000.000000;Hz
Stop;1000000000.000000;Hz
Ref Level;-10.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-53.361644744873047;-53.361644744873047
0.047500000000000001;-53.358139038085938;-53.358139038085938
0.095000000000000001;-53.373260498046875;-53.373260498046875
0.14250000000000002;-53.389514923095703;-53.389514923095703
0.19;-53.379348754882812;-53.379348754882812
0.23749999999999999;-53.373992919921875;-53.373992919921875
0.28499999999999998;-53.347831726074219;-53.347831726074219
0.33249999999999996;-53.342681884765625;-53.342681884765625
0.37999999999999995;-53.366802215576172;-53.366802215576172
0.42749999999999994;-53.345073699951172;-53.345073699951172
0.47499999999999992;-53.347648620605469;-53.347648620605469
0.52249999999999996;-53.372333526611328;-53.372333526611328
0.56999999999999995;-53.373073577880859;-53.373073577880859
0.61749999999999994;-53.379348754882812;-53.379348754882812
0.66499999999999992;-53.373260498046875;-53.373260498046875
0.71249999999999991;-53.365699768066406;-53.365699768066406
0.7599999999999999;-53.353164672851563;-53.353164672851563
0.80749999999999988;-53.376213073730469;-53.376213073730469
0.85499999999999987;-53.344154357910156;-53.344154357910156
0.90249999999999986;-53.362377166748047;-53.362377166748047
0.94999999999999984;-53.381752014160156;-53.381752014160156
0.99749999999999983;-53.380271911621094;-53.380271911621094
1.0449999999999999;-53.378238677978516;-53.378238677978516
1.0925;-53.3773193359375;-53.3773193359375
1.1400000000000001;-53.360721588134766;-53.360721588134766
1.1875000000000002;-53.354274749755859;-53.354274749755859
1.2350000000000003;-53.371414184570313;-53.371414184570313
1.2825000000000004;-53.349674224853516;-53.349674224853516
1.3300000000000005;-53.328903198242187;-53.328903198242187
1.3775000000000006;-53.326515197753906;-53.326515197753906
1.4250000000000007;-53.34930419921875;-53.34930419921875
1.4725000000000008;-53.353538513183594;-53.353538513183594
1.5200000000000009;-53.337535858154297;-53.337535858154297
1.567500000000001;-53.321006774902344;-53.321006774902344
1.6150000000000011;-53.289886474609375;-53.289886474609375
1.6625000000000012;-53.294818878173828;-53.294818878173828
1.7100000000000013;-53.303054809570312;-53.303054809570312
1.7575000000000014;-53.297748565673828;-53.297748565673828
1.8050000000000015;-53.296649932861328;-53.296649932861328
1.8525000000000016;-53.292079925537109;-53.292079925537109
1.9000000000000017;-53.284767150878906;-53.284767150878906
1.9475000000000018;-53.245769500732422;-53.245769500732422
1.9950000000000019;-53.269439697265625;-53.269439697265625
2.0425000000000018;-53.251407623291016;-53.251407623291016
2.0900000000000016;-53.229637145996094;-53.229637145996094
2.1375000000000015;-53.2327880859375;-53.2327880859375
2.1850000000000014;-53.241504669189453;-53.241504669189453
2.2325000000000013;-53.246494293212891;-53.246494293212891
2.2800000000000011;-53.231487274169922;-53.231487274169922
2.327500000000001;-53.210018157958984;-53.210018157958984
2.3750000000000009;-53.238349914550781;-53.238349914550781
2.4225000000000008;-53.221485137939453;-53.221485137939453
2.4700000000000006;-53.215011596679688;-53.215011596679688
