Type;ESR-7;
Version;3.48;
Date;25.Oct 24;
Mode;ANALYZER;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;1000000000.000000;Hz
Stop;1000000000.000000;Hz
Ref Level;-10.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-76.20501708984375;-88.603271484375
0.047500000000000001;-76.668495178222656;-88.817771911621094
0.095000000000000001;-76.752601623535156;-88.301223754882813
0.14250000000000002;-76.056663513183594;-88.401107788085938
0.19;-76.823989868164063;-87.146209716796875
0.23749999999999999;-76.252777099609375;-88.642753601074219
0.28499999999999998;-75.9364013671875;-86.460212707519531
0.33249999999999996;-75.31292724609375;-84.9075927734375
0.37999999999999995;-75.165382385253906;-84.403190612792969
0.42749999999999994;-74.674583435058594;-84.008560180664063
0.47499999999999992;-74.476066589355469;-83.737205505371094
0.52249999999999996;-74.710258483886719;-83.321891784667969
0.56999999999999995;-74.788284301757813;-82.201988220214844
0.61749999999999994;-74.506446838378906;-82.560554504394531
0.66499999999999992;-74.468849182128906;-82.260978698730469
0.71249999999999991;-73.889778137207031;-81.531051635742187
0.7599999999999999;-73.76763916015625;-80.859748840332031
0.80749999999999988;-74.014442443847656;-81.174766540527344
0.85499999999999987;-73.814186096191406;-79.964950561523438
0.90249999999999986;-73.700706481933594;-80.330650329589844
0.94999999999999984;-73.818611145019531;-80.146209716796875
0.99749999999999983;-73.685218811035156;-80.203987121582031
1.0449999999999999;-73.614952087402344;-80.269729614257813
1.0925;-73.560829162597656;-79.86029052734375
1.1400000000000001;-73.310592651367188;-79.134834289550781
1.1875000000000002;-72.877418518066406;-79.464775085449219
1.2350000000000003;-73.00482177734375;-78.827507019042969
1.2825000000000004;-73.24517822265625;-78.847602844238281
1.3300000000000005;-73.208297729492188;-79.152206420898437
1.3775000000000006;-72.9248046875;-78.432968139648437
1.4250000000000007;-72.289695739746094;-78.644279479980469
1.4725000000000008;-72.801521301269531;-78.370185852050781
1.5200000000000009;-72.68359375;-77.856903076171875
1.567500000000001;-72.382011413574219;-78.220268249511719
1.6150000000000011;-72.045379638671875;-77.558792114257813
1.6625000000000012;-72.496749877929688;-77.950408935546875
1.7100000000000013;-72.453315734863281;-72.453315734863281
1.7575000000000014;-71.770835876464844;-77.186943054199219
1.8050000000000015;-72.077323913574219;-77.769767761230469
1.8525000000000016;-72.022216796875;-77.318702697753906
1.9000000000000017;-71.599311828613281;-71.599311828613281
1.9475000000000018;-71.461112976074219;-71.461112976074219
1.9950000000000019;-71.393463134765625;-71.393463134765625
2.0425000000000018;-71.321403503417969;-71.321403503417969
2.0900000000000016;-71.19415283203125;-71.19415283203125
2.1375000000000015;-70.924591064453125;-70.924591064453125
2.1850000000000014;-70.847831726074219;-70.847831726074219
2.2325000000000013;-70.541473388671875;-70.541473388671875
2.2800000000000011;-70.812370300292969;-70.812370300292969
2.327500000000001;-70.7396240234375;-70.7396240234375
2.3750000000000009;-70.210647583007813;-70.210647583007813
2.4225000000000008;-70.338539123535156;-70.338539123535156
2.4700000000000006;-70.334846496582031;-70.334846496582031
